profile	date	depth	temperature	salinity	density	chlorophyll
4	10/2/2015	189.667176	22.195	40.468	28.32453446	0.0273
4	10/2/2015	191.706608	22.188	40.469	28.327322	0.0252
4	10/2/2015	193.74604	22.171	40.472	28.33452567	0.0231
4	10/2/2015	195.785472	22.159	40.473	28.33875761	0.0189
4	10/2/2015	197.824904	22.136	40.477	28.34845348	0.0168
4	10/2/2015	199.864336	22.108	40.481	28.35958914	0.0315
4	10/2/2015	201.903768	22.093	40.483	28.36544338	0.0084
4	10/2/2015	203.9432	22.082	40.485	28.37014193	0.0063
4	10/2/2015	205.982632	22.07	40.486	28.37436581	0.0147
4	10/2/2015	207.9200924	22.055	40.488	28.38021578	0.0126
4	10/2/2015	210.061496	22.043	40.49	28.38519945	0.0147
4	10/2/2015	212.100928	22.029	40.491	28.38999602	0.0168
4	10/2/2015	214.14036	22.009	40.494	28.39804355	0.0105
4	10/2/2015	216.179792	21.989	40.497	28.4060881	0.0105
4	10/2/2015	218.219224	21.973	40.5	28.412979	0.0105
4	10/2/2015	220.258656	21.964	40.501	28.41633018	0.0021
4	10/2/2015	222.298088	21.947	40.503	28.42274323	0.0147
4	10/2/2015	224.33752	21.934	40.505	28.42800463	0.0147
4	10/2/2015	226.376952	21.928	40.505	28.42972878	0.0084
4	10/2/2015	228.416384	21.92	40.506	28.43278963	0.0063
4	10/2/2015	230.455816	21.912	40.507	28.43584999	0.0105
4	10/2/2015	232.495248	21.908	40.508	28.43776122	0.0126
4	10/2/2015	234.53468	21.901	40.508	28.43977129	0.0126
4	10/2/2015	236.574112	21.897	40.509	28.44168219	0.0126
4	10/2/2015	238.613544	21.895	40.509	28.44225636	0.0063
4	10/2/2015	240.652976	21.891	40.509	28.44340461	0.0126
4	10/2/2015	242.692408	21.89	40.509	28.44369166	0.0126
4	10/2/2015	244.73184	21.884	40.51	28.44617624	0.0084
4	10/2/2015	246.771272	21.874	40.511	28.44980827	0.0063
4	10/2/2015	248.810704	21.871	40.511	28.45066899	0.0168
4	10/2/2015	250.850136	21.868	40.511	28.45152963	0.0084
4	10/2/2015	252.889568	21.866	40.512	28.45286586	0.0063
4	10/2/2015	254.929	21.862	40.512	28.45401321	0.0084
4	10/2/2015	256.968432	21.857	40.512	28.45544723	0.0063
4	10/2/2015	259.007864	21.851	40.513	28.45793031	0.0105
4	10/2/2015	261.047296	21.843	40.513	28.46022396	0.0063
4	10/2/2015	263.086728	21.837	40.514	28.46270641	0.0126
4	10/2/2015	265.12616	21.833	40.515	28.46461542	0.0126
4	10/2/2015	267.165592	21.831	40.515	28.4651886	0.0105
4	10/2/2015	269.205024	21.829	40.515	28.46576175	0.0168
4	10/2/2015	271.244456	21.828	40.515	28.46604831	0.0084
4	10/2/2015	273.283888	21.822	40.516	28.46853009	0.0126
4	10/2/2015	275.32332	21.811	40.517	28.47244383	0.0147
4	10/2/2015	277.362752	21.804	40.518	28.47521123	0.0147
4	10/2/2015	279.402184	21.801	40.518	28.47607031	0.0147
4	10/2/2015	281.441616	21.795	40.519	28.47855087	0.0105
4	10/2/2015	283.481048	21.789	40.52	28.48103117	0.0168
4	10/2/2015	285.52048	21.785	40.52	28.48217614	0.0147
4	10/2/2015	287.559912	21.784	40.52	28.48246236	0.0105
4	10/2/2015	289.599344	21.781	40.521	28.48408361	0.0126
4	10/2/2015	291.638776	21.777	40.521	28.48522833	0.0147
4	10/2/2015	293.678208	21.777	40.521	28.48522833	0.0147
4	10/2/2015	295.71764	21.776	40.521	28.48551449	0.0105
4	10/2/2015	297.757072	21.773	40.521	28.48637292	0.0168
4	10/2/2015	299.796504	21.766	40.522	28.4891383	0.0084
4	10/2/2015	301.835936	21.757	40.522	28.49171269	0.0084
4	10/2/2015	303.875368	21.754	40.522	28.49257067	0.0147
4	10/2/2015	305.9148	21.754	40.521	28.491808	0.0126
4	10/2/2015	307.954232	21.752	40.522	28.49314262	0.0189
4	10/2/2015	309.993664	21.744	40.522	28.49543011	0.0126
4	10/2/2015	312.033096	21.742	40.522	28.4960019	0.0147
4	10/2/2015	314.072528	21.736	40.521	28.49695439	0.0231
4	10/2/2015	316.11196	21.73	40.521	28.49866928	0.0168
4	10/2/2015	318.151392	21.725	40.521	28.50009814	0.0189
4	10/2/2015	320.190824	21.72	40.52	28.50076409	0.021
